연도,광역시도,기초지자체,광역주관,축제명,유형,개최기간,개최장소,개최방식,시작월,계절,최초개최년도,운영연수,연수구간,"예산합계
(백만원)","국비
(백만원)","지방비
(백만원)","기타
(백만원)","방문객합계
(前년실적)","내국인
(前년)","외국인
(前년)",방문객상태,"예산효율
(명/백만)","1인당예산
(원)","외국인비중
(%)","국비비중
(%)",전담조직명,조직유형,국비지원부처,인구감소지역_여부,문화관광축제_지정여부,기초인구수,관계인구지수,총방문객,총예산_백만,국비_백만,지방비_백만,기타_백만,외국인방문객,외국인비중_재산출,국비의존도_재산출,자체자립도_비율,개최일수_추정,예산효율_명_백만,1인당투입예산_원,일평균방문객,일평균투입예산_백만,전담조직_유무,국비지원_여부,규모등급_5단계,투자효율등급
2023,서울특별시,(광역주관),Y,서울뮤직페스티벌,문화예술,10.20~10.22,난지한강공원,혼합,10.0,가을,2019.0,5.0,단기(2~5년),1180.0,0.0,1180.0,0.0,11000.0,10000.0,1000.0,정상,9.3,107273.0,9.1,0.0,서울시 문화예술과,기타조직,,0,0,,,11000.0,1180.0,0.0,1180.0,0.0,1000.0,9.090909090909092,0.0,100.0,3,9.322033898305085,107272.72727272728,3666.6666666666665,393.3333333333333,1,0,4등급,낮음
2023,서울특별시,(광역주관),Y,차 없는 잠수교 뚜벅뚜벅 축제,문화예술,"-상반기:4.30.~7.2.  
매주 일요일(10회)
-하반기:9.3.~11.12. 매주 일요일(10회)
 * 10. 1.(일) : 추석연휴 제외","잠수교
(반포한강공원)",대면,4.0,봄,2022.0,2.0,단기(2~5년),1368.0,0.0,1368.0,0.0,520000.0,520000.0,,파싱불가,380.1,2631.0,,0.0,서울시 한강사업본부,기타조직,,0,0,,,520000.0,1368.0,0.0,1368.0,0.0,,,0.0,100.0,3,380.1169590643275,2630.769230769231,173333.33333333334,456.0,1,0,1등급(초대형),다소높음
2023,서울특별시,(광역주관),Y,2023 한강페스티벌,문화예술,"봄(5.12.~5.14.).
여름(7.28.~8.13.),
가을(10.14.~10.21.),
겨울(12.1.~12.25.)",한강 수상 및 11개 한강공원 일대,대면,5.0,봄,2013.0,11.0,중기(6~20년),954.0,0.0,954.0,0.0,77000.0,77000.0,,파싱불가,80.7,12390.0,,0.0,서울시 한강사업본부,기타조직,,0,0,,,77000.0,954.0,0.0,954.0,0.0,,,0.0,100.0,3,80.71278825995807,12389.61038961039,25666.666666666668,318.0,1,0,2등급,다소낮음
2023,서울특별시,용산구,N,제25회 서울드럼페스티벌,문화예술,05.26.~05.27.,노들섬,대면,5.0,봄,1999.0,25.0,장기(21년↑),560.0,0.0,560.0,0.0,13839.0,13839.0,,정상,24.7,40465.0,,0.0,서울시 문화예술과,기타조직,-,0,0,,,13839.0,560.0,0.0,560.0,0.0,,,0.0,100.0,3,24.7125,40465.351542741526,4613.0,186.66666666666666,1,0,4등급,낮음
2023,서울특별시,송파구,N,"2023 석촌호수의 가을과 겨울, 그리고 루미나리에",문화예술,10.27.~12.31.(예정),석촌호수,대면,10.0,가을,2016.0,8.0,중기(6~20년),95.0,0.0,95.0,0.0,201000.0,200000.0,1000.0,정상,2115.8,473.0,0.5,0.0,송파구,기타조직,,0,0,,,201000.0,95.0,0.0,95.0,0.0,1000.0,0.4975124378109453,0.0,100.0,3,2115.7894736842104,472.636815920398,67000.0,31.666666666666668,1,0,1등급(초대형),높음
2023,서울특별시,송파구,N,2023 커피 페스티벌,문화예술,10.7.~10.8.(예정),잠실 롯데월드타워 잔디광장,대면,10.0,가을,2017.0,7.0,중기(6~20년),0.0,0.0,0.0,0.0,100800.0,100000.0,800.0,정상,,0.0,0.8,,"송파구, 한국경제신문",기타조직,,0,0,,,100800.0,0.0,0.0,0.0,0.0,800.0,0.7936507936507936,0.0,0.0,3,,0.0,33600.0,0.0,1,0,2등급,
2023,서울특별시,"종로구, 중구",N,제4회 2023서울도시건축비엔날레,문화예술,09.01.~10.29.,"열린송현녹지광장, 서울도시건축전시관, 서울시청(시민청)",대면,9.0,가을,2017.0,7.0,중기(6~20년),6054.0,0.0,6054.0,0.0,700000.0,650000.0,50000.0,정상,115.6,8649.0,7.1,0.0,서울시 건축기획과,기타조직,,0,0,,,700000.0,6054.0,0.0,6054.0,0.0,50000.0,7.142857142857142,0.0,100.0,3,115.62603237528907,8648.57142857143,233333.33333333334,2018.0,1,0,1등급(초대형),보통
2023,서울특별시,중구,N, 2023 제15회 서울건축문화제 ,문화예술,09.01.~09.30.(예정),서울도시건축전시관 등,대면,9.0,가을,2009.0,15.0,중기(6~20년),297.0,0.0,297.0,0.0,,52028.0,,미기재,,,,0.0,서울시 건축기획과,기타조직,,0,0,,,,297.0,0.0,297.0,0.0,,0.0,0.0,100.0,3,,,,99.0,1,0,,
2023,서울특별시,종로구,N,월간종로축제,문화예술,09.~10.,미정,대면,9.0,가을,2023.0,1.0,신규(1년),200.0,0.0,200.0,0.0,180000.0,180000.0,,정상,900.0,1111.0,,0.0,종로구청 문화과,지자체직접,-,0,0,,,180000.0,200.0,0.0,200.0,0.0,,,0.0,100.0,3,900.0,1111.111111111111,60000.0,66.66666666666667,1,0,1등급(초대형),높음
2023,서울특별시,종로구,N,종로한복축제,전통역사,09.22.~09.23.,광화문광장,대면,9.0,가을,2016.0,8.0,중기(6~20년),100.0,0.0,100.0,0.0,157541.0,157541.0,,정상,1575.4,635.0,,0.0,종로문화재단,재단법인,-,0,0,,,157541.0,100.0,0.0,100.0,0.0,,,0.0,100.0,3,1575.41,634.755397007763,52513.666666666664,33.333333333333336,1,0,1등급(초대형),높음
