"지역축제 개최계획 통합 정제 데이터 (2023~2026) | 총 4,783개 | 방문객=전년 실적값",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
연도,광역시도,기초지자체,광역주관,축제명,유형,개최기간,개최장소,개최방식,시작월,계절,최초개최년도,운영연수,연수구간,"예산합계
(백만원)","국비
(백만원)","지방비
(백만원)","기타
(백만원)","방문객합계
(前년실적)","내국인
(前년)","외국인
(前년)",방문객상태,"예산효율
(명/백만)","1인당예산
(원)","외국인비중
(%)","국비비중
(%)",전담조직명,조직유형,국비지원부처
2023,서울특별시,(광역주관),Y,서울뮤직페스티벌,문화예술,10.20~10.22,난지한강공원,혼합,10,가을,2019,5,단기(2~5년),1180,0,1180,0,11000,10000,1000,정상,9.3,107273,9.1,0,서울시 문화예술과,기타조직,
2023,서울특별시,(광역주관),Y,차 없는 잠수교 뚜벅뚜벅 축제,문화예술,"-상반기:4.30.~7.2.  
매주 일요일(10회)
-하반기:9.3.~11.12. 매주 일요일(10회)
 * 10. 1.(일) : 추석연휴 제외","잠수교
(반포한강공원)",대면,4,봄,2022,2,단기(2~5년),1368,0,1368,0,520000,520000,,파싱불가,380.1,2631,,0,서울시 한강사업본부,기타조직,
2023,서울특별시,(광역주관),Y,2023 한강페스티벌,문화예술,"봄(5.12.~5.14.).
여름(7.28.~8.13.),
가을(10.14.~10.21.),
겨울(12.1.~12.25.)",한강 수상 및 11개 한강공원 일대,대면,5,봄,2013,11,중기(6~20년),954,0,954,0,77000,77000,,파싱불가,80.7,12390,,0,서울시 한강사업본부,기타조직,
2023,서울특별시,용산구,N,제25회 서울드럼페스티벌,문화예술,05.26.~05.27.,노들섬,대면,5,봄,1999,25,장기(21년↑),560,0,560,0,13839,13839,,정상,24.7,40465,,0,서울시 문화예술과,기타조직,-
2023,서울특별시,송파구,N,"2023 석촌호수의 가을과 겨울, 그리고 루미나리에",문화예술,10.27.~12.31.(예정),석촌호수,대면,10,가을,2016,8,중기(6~20년),95,0,95,0,201000,200000,1000,정상,2115.8,473,0.5,0,송파구,기타조직,
2023,서울특별시,송파구,N,2023 커피 페스티벌,문화예술,10.7.~10.8.(예정),잠실 롯데월드타워 잔디광장,대면,10,가을,2017,7,중기(6~20년),0,0,0,0,100800,100000,800,정상,,0,0.8,,"송파구, 한국경제신문",기타조직,
2023,서울특별시,"종로구, 중구",N,제4회 2023서울도시건축비엔날레,문화예술,09.01.~10.29.,"열린송현녹지광장, 서울도시건축전시관, 서울시청(시민청)",대면,9,가을,2017,7,중기(6~20년),6054,0,6054,0,700000,650000,50000,정상,115.6,8649,7.1,0,서울시 건축기획과,기타조직,
2023,서울특별시,중구,N, 2023 제15회 서울건축문화제 ,문화예술,09.01.~09.30.(예정),서울도시건축전시관 등,대면,9,가을,2009,15,중기(6~20년),297,0,297,0,,52028,,미기재,,,,0,서울시 건축기획과,기타조직,
2023,서울특별시,종로구,N,월간종로축제,문화예술,09.~10.,미정,대면,9,가을,2023,1,신규(1년),200,0,200,0,180000,180000,,정상,900,1111,,0,종로구청 문화과,지자체직접,-
